AccelAngle,GyroAngle,SpinAngle,currentspeed,spincomp,WheelPos,error,turnerror,tiltCurrent,bigTiltCurrent
0.0039,-0.0306,-0.0078,-0.2920,0.0009,93.0000,0.0004,-0.0009-0.0044,-0.0581,
0.0152,-0.0228,0.0033,-0.1115,0.0007,64.0000,0.0002,-0.0007-0.0042,0.0285,
0.0637,-0.0441,-0.0170,0.1782,0.0005,60.0000,0.0014,-0.0005-0.0054,-0.1361,
0.0052,0.0163,0.0167,0.3885,0.0012,97.0000,-0.0011,-0.0012-0.0029,0.1425,
0.0099,0.0140,0.0095,-0.0284,0.0015,114.0000,-0.0020,-0.0015-0.0020,0.0892,
-0.0061,-0.0504,-0.0091,-0.6950,0.0009,73.0000,-0.0006,-0.0009-0.0034,-0.0673,
-0.0116,-0.0862,-0.0085,-0.1616,0.0003,21.0000,0.0039,-0.0003-0.0079,-0.0724,
-0.0055,-0.0056,-0.0262,0.9111,0.0013,77.0000,0.0017,-0.0013-0.0057,-0.2022,
0.0153,0.0677,0.0014,0.9187,0.0013,184.0000,-0.0023,-0.0013-0.0017,0.0226,
-0.0361,0.0453,0.0144,-0.6442,0.0016,8.0000,-0.0046,-0.00160.0006,0.1323,
0.0039,-0.0831,-0.0043,-1.8772,-0.0003,67.0000,0.0000,0.0003-0.0040,-0.0415,
-0.0052,-0.0829,0.0187,-1.3814,-0.0024,92.0000,0.0018,0.0024-0.0058,0.1195,
0.0173,-0.0644,-0.0055,-0.4363,-0.0025,200.0000,0.0033,0.0025-0.0073,-0.0769,
-0.0212,0.0059,0.0131,0.7784,-0.0005,17.0000,0.0010,0.0005-0.0050,0.0950,
-0.0086,0.0437,0.0150,1.3385,0.0015,121.0000,-0.0004,-0.0015-0.0036,0.1311,
0.0230,0.0163,0.0191,0.9119,0.0022,28.0000,-0.0013,-0.0022-0.0027,0.1724,
-0.0148,0.0337,0.0006,0.2303,0.0013,93.0000,-0.0034,-0.0013-0.0006,0.0173,
-0.0000,-0.0289,-0.0230,-0.8863,-0.0002,46.0000,-0.0019,0.0002-0.0021,-0.1878,
0.0085,-0.0488,0.0019,-0.8095,-0.0031,147.0000,-0.0002,0.0031-0.0038,-0.0191,
0.0078,-0.0560,0.0215,-0.2734,-0.0024,76.0000,0.0012,0.0024-0.0052,0.1427,
-0.0088,-0.0220,0.0119,0.7471,-0.0019,103.0000,0.0024,0.0019-0.0064,0.0698,
-0.0097,0.0147,-0.0122,0.9602,-0.0003,8.0000,-0.0005,0.0003-0.0035,-0.1039,
0.0022,0.0594,-0.0062,0.5862,-0.0004,90.0000,-0.0035,0.0004-0.0005,-0.0539,
0.0078,-0.0108,0.0047,-0.7798,-0.0010,69.0000,-0.0018,0.0010-0.0022,0.0254,
-0.0132,-0.0425,-0.0360,-0.9534,-0.0037,161.0000,-0.0001,0.0037-0.0039,-0.3292,
0.0074,-0.0669,-0.0075,-0.5580,-0.0036,70.0000,0.0017,0.0036-0.0057,-0.1019,
-0.0357,-0.0502,0.0323,0.3597,-0.0026,70.0000,0.0025,0.0026-0.0065,0.2257,
-0.0259,0.0322,-0.0105,1.1060,-0.0001,159.0000,0.0001,0.0001-0.0041,-0.0891,
0.0175,0.0488,0.0031,0.8573,0.0012,60.0000,-0.0024,-0.0012-0.0016,0.0354,
-0.0559,0.0164,0.0432,-0.4639,0.0014,91.0000,-0.0029,-0.0014-0.0011,0.3586,
0.0040,-0.0789,-0.0077,-1.3392,-0.0006,193.0000,0.0007,0.0006-0.0047,-0.0725,
0.0277,-0.0865,0.0303,-1.0881,-0.0017,73.0000,0.0012,0.0017-0.0052,0.2200,
-0.0230,-0.0409,-0.0123,-0.0615,-0.0019,18.0000,0.0017,0.0019-0.0057,-0.1235,
0.0191,-0.0384,-0.0137,0.7814,0.0013,70.0000,0.0026,-0.0013-0.0066,-0.1024,
-0.0195,0.0177,-0.0478,1.0117,0.0027,187.0000,-0.0001,-0.0027-0.0039,-0.3592,
-0.0005,0.0481,-0.0213,0.5915,0.0019,76.0000,-0.0024,-0.0019-0.0016,-0.1525,
-0.0093,-0.0113,-0.0230,-0.8470,0.0004,73.0000,-0.0012,-0.0004-0.0028,-0.1832,
0.0320,-0.0773,-0.0379,-1.4872,-0.0029,145.0000,0.0008,0.0029-0.0048,-0.3370,
0.0095,-0.0509,0.0215,-0.9887,-0.0031,5.0000,0.0001,0.0031-0.0041,0.1366,
-0.0129,-0.0592,0.0045,0.1729,-0.0017,142.0000,0.0031,0.0017-0.0071,0.0115,
-0.0227,0.0228,-0.0221,1.4551,0.0012,34.0000,0.0008,-0.0012-0.0048,-0.1695,
-0.0305,0.0345,-0.0186,1.4567,0.0034,195.0000,-0.0007,-0.0034-0.0033,-0.1184,
0.0066,0.0441,0.0023,0.8250,0.0020,118.0000,-0.0027,-0.0020-0.0013,0.0369,
0.0371,-0.0121,-0.0294,-0.4925,0.0013,133.0000,-0.0018,-0.0013-0.0022,-0.2239,
-0.0002,-0.0612,-0.0014,-1.4803,-0.0005,41.0000,-0.0007,0.0005-0.0033,-0.0197,
-0.0174,-0.0803,0.0011,-1.4702,-0.0019,93.0000,0.0011,0.0019-0.0051,-0.0152,
0.0066,-0.0609,0.0206,-0.6971,-0.0017,179.0000,0.0017,0.0017-0.0057,0.1415,
0.0318,-0.0420,-0.0554,0.7287,-0.0004,162.0000,0.0029,0.0004-0.0069,-0.4542,
-0.0003,0.0314,0.0026,1.5759,0.0011,86.0000,-0.0005,-0.0011-0.0035,0.0281,
0.0069,0.0436,0.0300,1.3993,0.0018,41.0000,-0.0016,-0.0018-0.0024,0.2560,
-0.0216,0.0057,0.0093,0.3656,0.0013,141.0000,-0.0008,-0.0013-0.0032,0.0839,
-0.0020,-0.0565,-0.0099,-1.0154,0.0005,116.0000,0.0006,-0.0005-0.0046,-0.0794,
0.0070,-0.0847,0.0011,-1.5267,-0.0016,187.0000,0.0015,0.0016-0.0055,-0.0129,
0.0110,-0.0895,-0.0302,-1.3112,-0.0023,50.0000,0.0027,0.0023-0.0067,-0.2714,
0.0181,-0.0683,0.0188,-0.3175,-0.0009,166.0000,0.0025,0.0009-0.0065,0.1348,
0.0148,0.0029,0.0387,1.1065,0.0013,11.0000,0.0011,-0.0013-0.0051,0.3178,
-0.0083,0.0600,0.0507,1.5130,0.0033,150.0000,-0.0015,-0.0033-0.0025,0.4355,
-0.0012,0.0517,0.0035,0.9885,0.0030,73.0000,-0.0023,-0.0030-0.0017,0.0566,
0.0361,0.0730,-0.0118,-0.0359,0.0029,116.0000,-0.0065,-0.00290.0025,-0.0631,
0.0215,-0.0632,0.0124,-1.4953,0.0012,29.0000,-0.0016,-0.0012-0.0024,0.1087,
0.0325,-0.1026,-0.0447,-1.6191,-0.0011,77.0000,0.0019,0.0011-0.0059,-0.3744,
0.0314,-0.0742,-0.0065,-0.6922,-0.0006,155.0000,0.0021,0.0006-0.0061,-0.0642,
0.0210,-0.0337,-0.0113,0.7954,0.0006,151.0000,0.0025,-0.0006-0.0065,-0.0905,
-0.0124,0.0394,-0.0013,1.7550,0.0023,94.0000,0.0002,-0.0023-0.0042,0.0083,
0.0106,0.0252,-0.0356,1.4308,0.0023,58.0000,0.0002,-0.0023-0.0042,-0.2659,
-0.0103,0.0421,-0.0054,0.5078,0.0022,166.0000,-0.0031,-0.0022-0.0009,-0.0222,
0.0259,-0.0368,-0.0343,-1.0997,0.0010,139.0000,-0.0007,-0.0010-0.0033,-0.2682,
0.0110,-0.0983,-0.0173,-1.9331,-0.0011,184.0000,0.0015,0.0011-0.0055,-0.1544,
0.0521,-0.0670,-0.0058,-1.5464,-0.0025,8.0000,0.0007,0.0025-0.0047,-0.0761,
0.0147,-0.0799,-0.0001,-0.5912,-0.0018,88.0000,0.0030,0.0018-0.0070,-0.0255,
-0.0114,-0.0372,0.0572,0.8716,0.0009,110.0000,0.0030,-0.0009-0.0070,0.4601,
-0.0109,0.0357,0.0463,1.7839,0.0039,56.0000,-0.0002,-0.0039-0.0038,0.4053,
0.0274,0.0221,-0.0055,1.6181,0.0028,35.0000,0.0002,-0.0028-0.0042,-0.0209,
0.0060,0.0450,0.0002,0.8301,0.0020,167.0000,-0.0027,-0.0020-0.0013,0.0206,
0.0033,0.0025,-0.0330,-0.8870,0.0009,177.0000,-0.0030,-0.0009-0.0010,-0.2562,
0.0341,-0.0734,-0.0127,-2.0047,-0.0017,25.0000,-0.0010,0.0017-0.0030,-0.1218,
