AccelAngle,GyroAngle,SpinAngle,currentspeed,spincomp,tiltCurrent,bigTiltCurrent,WheelPos,error,turnerror,stop,forward,reverse,clockwise,anticlockwise
0.0172,0.0001,-0.0238,-0.3301,0.0021,-0.0022,-0.1719,90.0000,-0.0218,-0.0021,0,1,0,0,0
-0.0253,-0.0545,-0.0836,0.1101,-0.0031,-0.0144,-0.7147,2.0000,-0.0096,0.0031,0,1,0,0,0
-0.0117,0.0128,0.0062,1.4802,-0.0063,-0.0152,-0.0287,68.0000,-0.0088,0.0063,0,1,0,0,0
-0.0450,0.0218,0.0033,1.4780,-0.0097,-0.0144,-0.0858,32.0000,0.0104,0.0097,0,1,0,0,0
0.0040,-0.0043,0.0506,1.0879,-0.0046,-0.0136,0.3446,177.0000,-0.0104,0.0046,0,1,0,0,0
-0.0283,0.0016,0.0684,0.4218,0.0042,-0.0137,0.5752,57.0000,-0.0103,-0.0042,0,1,0,0,0
0.0278,-0.0320,0.0200,-0.6204,0.0055,-0.0128,0.2025,41.0000,-0.0112,-0.0055,0,1,0,0,0
-0.0074,-0.0939,0.0378,-0.7276,0.0074,-0.0161,0.3603,165.0000,-0.0079,-0.0074,0,1,0,0,0
-0.0044,-0.0663,0.0115,0.0888,0.0117,-0.0172,0.1924,130.0000,-0.0068,-0.0117,0,1,0,0,0
0.0191,-0.0153,-0.0058,0.6812,0.0154,-0.0144,0.0934,179.0000,-0.0096,-0.0154,0,1,0,0,0
0.0026,0.0312,-0.0403,1.0485,0.0075,-0.0127,-0.2599,51.0000,-0.0113,-0.0075,1,0,0,0,0
0.0226,0.0310,-0.0618,-0.3366,-0.0059,-0.0006,-0.5534,112.0000,-0.0234,0.0059,1,0,0,0,0
0.0227,-0.0887,0.0175,-1.9702,-0.0036,-0.0045,0.0996,186.0000,-0.0195,0.0036,1,0,0,0,0
0.0445,-0.0292,-0.0511,-1.8692,-0.0065,-0.0017,-0.4756,180.0000,-0.0223,0.0065,1,0,0,0,0
-0.0070,-0.0514,-0.0707,-1.8619,-0.0173,-0.0039,-0.7422,167.0000,-0.0201,0.0173,1,0,0,0,0
0.0110,-0.0790,0.0680,-1.2350,-0.0262,-0.0066,0.2757,197.0000,-0.0174,0.0262,1,0,0,0,0
-0.0204,-0.0727,-0.0647,-0.5447,-0.0371,-0.0072,-0.8954,118.0000,0.0232,0.0371,1,0,0,0,0
-0.0014,0.0072,0.0212,1.3302,-0.0412,-0.0064,-0.2480,156.0000,-0.0176,0.0412,1,0,0,0,0
0.0050,0.0642,0.0547,1.5608,-0.0303,-0.0017,0.1324,104.0000,-0.0223,0.0303,1,0,0,0,0
-0.0012,0.0254,-0.0051,0.7204,-0.0229,-0.0023,-0.2727,10.0000,-0.0217,0.0229,1,0,0,0,0
0.0207,0.0087,0.0314,-0.4995,-0.0170,-0.0007,0.0799,21.0000,-0.0233,0.0170,1,0,0,0,0
0.0574,-0.0322,0.0731,-0.9731,-0.0057,-0.0020,0.5257,111.0000,-0.0220,0.0057,1,0,0,0,0
0.0100,-0.0894,0.0271,-1.1058,0.0077,-0.0078,0.2864,184.0000,-0.0162,-0.0077,1,0,0,0,0
0.0134,-0.1163,-0.0360,-0.5206,0.0136,-0.0087,-0.1607,107.0000,-0.0153,-0.0136,1,0,0,0,0
-0.0096,-0.0476,0.0164,0.8300,0.0046,-0.0077,0.1703,137.0000,-0.0163,-0.0046,1,0,0,0,0
0.0289,-0.0167,-0.0161,1.3874,-0.0006,-0.0066,-0.1415,65.0000,-0.0174,0.0006,1,0,0,0,0
0.0154,0.0464,0.0904,1.1286,0.0027,-0.0013,0.7491,198.0000,-0.0227,-0.0027,1,0,0,0,0
-0.0093,0.0923,-0.0560,-0.2838,-0.0001,0.0038,-0.4450,31.0000,-0.0278,0.0001,1,0,0,0,0
-0.0012,-0.0330,-0.0831,-1.5063,-0.0127,-0.0017,-0.7934,102.0000,-0.0223,0.0127,1,0,0,0,0
-0.0095,-0.0797,-0.0338,-1.7049,-0.0188,-0.0049,-0.4628,116.0000,-0.0191,0.0188,1,0,0,0,0
-0.0007,-0.0953,-0.1144,-1.1992,-0.0396,-0.0071,-1.3184,157.0000,-0.0169,0.0396,1,0,0,0,0
0.0417,-0.0717,0.0316,0.0823,-0.0408,-0.0081,-0.1632,103.0000,-0.0159,0.0408,1,0,0,0,0
-0.0274,-0.0682,-0.0289,-0.5724,-0.0360,0.0044,-0.5861,2.0000,0.0376,0.0360,0,0,1,0,0
0.0585,0.0113,0.0523,-0.0531,-0.0202,0.0102,0.2265,13.0000,-0.0342,0.0202,0,0,1,0,0
0.0815,-0.0409,-0.0315,-0.9482,-0.0143,0.0081,-0.3872,135.0000,-0.0321,0.0143,0,0,1,0,0
0.0104,-0.0149,-0.0017,-1.1578,-0.0230,0.0114,-0.2322,13.0000,-0.0354,0.0230,0,0,1,0,0
0.0612,-0.0711,-0.0568,-1.3017,-0.0293,0.0066,-0.7413,70.0000,-0.0306,0.0293,0,0,1,0,0
0.0087,-0.0556,0.0664,-0.8639,-0.0210,0.0076,0.3288,162.0000,-0.0316,0.0210,0,0,1,0,0
0.0407,-0.0120,-0.0297,-0.5426,-0.0200,0.0106,-0.4268,73.0000,-0.0346,0.0200,0,0,1,0,0
-0.0208,-0.0670,-0.1228,-0.4450,-0.0419,0.0056,-1.3959,8.0000,-0.0296,0.0419,0,0,1,0,0
0.0659,-0.0305,0.0255,-0.0192,-0.0524,0.0094,-0.3101,13.0000,-0.0334,0.0524,0,0,1,0,0
0.0050,-0.0044,0.1622,0.2325,-0.0418,0.0099,0.8898,40.0000,-0.0339,0.0418,0,0,1,0,0
0.0269,0.0453,0.1174,0.3159,-0.0307,0.0142,0.6467,43.0000,-0.0382,0.0307,0,0,1,0,0
0.0293,-0.0165,-0.0137,0.0994,-0.0269,0.0108,-0.3672,5.0000,-0.0348,0.0269,0,0,1,0,0
0.0466,-0.0412,0.0099,0.1928,-0.0246,0.0065,-0.1604,167.0000,-0.0305,0.0246,0,0,1,0,0
0.0692,-0.0707,0.0097,0.2234,-0.0219,0.0040,-0.1383,163.0000,-0.0280,0.0219,0,0,1,0,0
0.0703,-0.0814,0.0284,-0.1565,-0.0194,0.0051,0.0388,192.0000,-0.0291,0.0194,0,0,1,0,0
-0.0004,0.0484,-0.0370,1.1877,-0.0218,0.0009,-0.5133,139.0000,-0.0249,0.0218,1,0,0,0,0
-0.0455,-0.0107,0.1847,1.6633,-0.0079,-0.0047,1.3943,60.0000,-0.0193,0.0079,1,0,0,0,0
0.0008,-0.0346,0.1006,1.5774,0.0108,-0.0067,0.9062,40.0000,-0.0173,-0.0108,1,0,0,0,0
