AccelAngle,GyroAngle,SpinAngle,currentspeed,SpinComp,step1Accel,step2Accel
0.00,0.01,0.04,1.52,0.00,-0.01,0.32
-0.01,0.02,0.03,1.55,0.00,-0.01,0.28
-0.01,0.01,-0.01,1.04,0.00,-0.01,-0.09
0.13,0.04,-0.04,0.03,0.00,0.00,-0.30
-0.01,-0.04,-0.04,-1.32,-0.00,0.00,-0.37
0.04,-0.07,-0.01,-1.40,-0.00,-0.00,-0.08
0.02,-0.04,-0.05,-0.77,-0.00,-0.00,-0.42
-0.04,-0.07,-0.04,0.19,-0.00,-0.01,-0.36
0.01,-0.00,-0.04,1.40,-0.00,-0.01,-0.34
-0.02,0.04,0.07,1.90,-0.00,-0.01,0.53
-0.00,0.06,-0.02,1.87,-0.00,-0.00,-0.20
-0.02,0.03,0.09,1.06,-0.00,-0.00,0.67
-0.02,0.10,-0.01,-0.03,-0.00,0.00,-0.12
0.02,-0.07,-0.07,-1.58,-0.00,-0.00,-0.57
0.02,-0.04,0.02,-1.43,-0.00,0.00,0.13
0.02,-0.09,0.04,-1.19,-0.00,-0.00,0.29
-0.04,-0.06,0.01,-0.07,-0.00,-0.01,0.10
0.02,-0.08,0.06,0.95,-0.00,-0.01,0.42
0.01,-0.02,0.01,1.72,-0.00,-0.01,0.07
0.01,-0.00,0.02,1.90,-0.00,-0.01,0.15
-0.03,0.03,-0.01,1.56,-0.00,-0.01,-0.12
0.02,0.02,0.04,0.52,-0.00,-0.00,0.27
-0.01,-0.10,-0.01,-0.63,-0.00,-0.01,-0.11
-0.00,0.00,-0.07,-0.49,-0.00,0.00,-0.59
-0.01,-0.08,0.06,-0.94,-0.00,-0.00,0.50
0.06,0.00,-0.03,-0.07,-0.00,0.00,-0.21
-0.03,0.02,-0.01,0.36,-0.00,-0.00,-0.13
0.02,-0.04,-0.01,0.05,-0.00,-0.00,-0.12
-0.07,-0.12,0.07,-0.12,-0.00,-0.01,0.52
0.01,0.02,0.01,0.34,-0.00,-0.00,0.02
0.04,-0.04,0.02,-0.78,-0.00,-0.00,0.14
0.04,-0.04,-0.01,-0.71,-0.00,-0.00,-0.10
0.02,-0.13,0.04,-0.49,-0.00,-0.01,0.28
-0.03,-0.08,-0.05,0.92,-0.00,-0.01,-0.39
-0.01,0.04,0.02,1.85,-0.00,-0.01,0.10
0.00,0.09,-0.00,1.48,-0.00,-0.00,-0.05
0.00,0.09,-0.02,0.56,0.00,0.00,-0.16
-0.01,-0.03,0.03,-1.48,0.00,0.00,0.25
0.01,-0.10,0.02,-2.19,0.00,-0.00,0.18
0.04,-0.08,0.02,-1.98,-0.00,-0.00,0.17
0.00,-0.11,-0.00,-1.33,-0.00,-0.01,-0.02
0.03,-0.03,0.03,0.21,-0.00,-0.01,0.24
-0.04,0.03,-0.02,1.16,0.00,-0.00,-0.17
