00000000000000000000
00000000000000000000
00000000000000000000
00000111111110000000
00022111111110000000
00000111111110000000
00000000001110000000
00000000001110000000
00000000001110000000
00000000001110000000
00000000001111100000
00000000001111133000
00000000001111100000
00000000000000000000
00000000000000000000

Format: x-y-x1,y1-x2,y2-speed-moveto_pos1_first-move_vertically
IMPORTANT: x2 > x1 or y2 > y1

5 - 3 - 5,3 - 4,3 - 1 - true - true
6 - 3 - 5,3 - 4,3 - 1 - true - true
7 - 3 - 5,3 - 4,3 - 1 - true - true
8 - 3 - 5,3 - 4,3 - 1 - true - true
9 - 3 - 5,3 - 4,3 - 1 - true - true
10 - 3 - 5,3 - 4,3 - 1 - true - true
11 - 3 - 5,3 - 4,3 - 1 - true - true
12 - 3 - 5,3 - 4,3 - 1 - true - true
5 - 5 - 5,5 - 4,5 - 1 - true - true
6 - 5 - 5,5 - 4,5 - 1 - true - true
7 - 5 - 5,5 - 4,5 - 1 - true - true
8 - 5 - 5,5 - 4,5 - 1 - true - true
9 - 5 - 5,5 - 4,5 - 1 - true - true
10 - 5 - 5,5 - 4,5 - 1 - true - true
10 - 6 - 5,6 - 4,5 - 1 - true - true
10 - 7 - 5,7 - 4,5 - 1 - true - true
10 - 8 - 5,8 - 4,5 - 1 - true - true
10 - 9 - 5,9 - 4,5 - 1 - true - true
10 - 10 - 5,10 - 4,5 - 1 - true - true
10 - 11 - 5,11 - 4,5 - 1 - true - true
10 - 12 - 5,12 - 4,5 - 1 - true - true
11 - 12 - 5,12 - 4,5 - 1 - true - true
12 - 12 - 5,12 - 4,5 - 1 - true - true
13 - 12 - 5,12 - 4,5 - 1 - true - true
14 - 12 - 5,12 - 4,5 - 1 - true - true
12 - 4 - 5,5 - 4,5 - 1 - true - true
12 - 5 - 5,5 - 4,5 - 1 - true - true
12 - 6 - 5,6 - 4,5 - 1 - true - true
12 - 7 - 5,7 - 4,5 - 1 - true - true
12 - 8 - 5,8 - 4,5 - 1 - true - true
12 - 9 - 5,9 - 4,5 - 1 - true - true
12 - 10 - 5,10 - 4,5 - 1 - true - true
13 - 10 - 5,10 - 4,5 - 1 - true - true
14 - 10 - 5,10 - 4,5 - 1 - true - true









